symbol,company_name,fiscal_year,end_date,period,total_revenue,gross_profit,operating_income,net_income,eps,gross_margin,operating_margin,net_margin,currency,source,validation_status,file_type,source_file,download_success,download_timestamp,process_timestamp,stage1_process_timestamp
AAPL,Apple Inc.,2019,2019-06-29,Q3,53809000000,20227000000,11544000000,10044000000,2.18,0.37590365923916075,0.2145366016837332,0.18666022412607555,USD,SEC,"DISCREPANCY: SEC=53,809,000,000 vs AV=260,174,000,000 (383.5%)",INCOME_STATEMENT,https://data.sec.gov/api/xbrl/companyfacts/CIK0000320193.json,True,2026-02-06 00:40:15,2026-02-06 00:40:15,2026-02-06 00:40:15.605099
AAPL,Apple Inc.,2020,2020-09-26,FY,274515000000,101839000000,70898000000,59531000000,2.98,0.37097790648962714,0.2582663971003406,0.21685882374369342,USD,SEC,VALIDATED,INCOME_STATEMENT,https://data.sec.gov/api/xbrl/companyfacts/CIK0000320193.json,True,2026-02-06 00:40:15,2026-02-06 00:40:15,2026-02-06 00:40:15.605099
AAPL,Apple Inc.,2020,2019-12-28,Q1,91819000000,35217000000,25569000000,22236000000,4.99,0.38354806739345887,0.2784717759940753,0.2421720994565395,USD,SEC,"DISCREPANCY: SEC=91,819,000,000 vs AV=274,515,000,000 (199.0%)",INCOME_STATEMENT,https://data.sec.gov/api/xbrl/companyfacts/CIK0000320193.json,True,2026-02-06 00:40:15,2026-02-06 00:40:15,2026-02-06 00:40:15.605099
AAPL,Apple Inc.,2020,2020-03-28,Q2,58313000000,22370000000,12853000000,11249000000,2.55,0.3836194330595236,0.22041397287054346,0.1929072419529093,USD,SEC,"DISCREPANCY: SEC=58,313,000,000 vs AV=274,515,000,000 (370.8%)",INCOME_STATEMENT,https://data.sec.gov/api/xbrl/companyfacts/CIK0000320193.json,True,2026-02-06 00:40:15,2026-02-06 00:40:15,2026-02-06 00:40:15.605099
AAPL,Apple Inc.,2020,2020-06-27,Q3,59685000000,22680000000,13091000000,11253000000,2.58,0.3799949736114602,0.21933484124989527,0.18853983412917819,USD,SEC,"DISCREPANCY: SEC=59,685,000,000 vs AV=274,515,000,000 (359.9%)",INCOME_STATEMENT,https://data.sec.gov/api/xbrl/companyfacts/CIK0000320193.json,True,2026-02-06 00:40:15,2026-02-06 00:40:15,2026-02-06 00:40:15.605099
AAPL,Apple Inc.,2021,2021-09-25,FY,365817000000,98392000000,63930000000,55256000000,2.97,0.26896508363471355,0.1747595109029925,0.15104820169647665,USD,SEC,VALIDATED,INCOME_STATEMENT,https://data.sec.gov/api/xbrl/companyfacts/CIK0000320193.json,True,2026-02-06 00:40:15,2026-02-06 00:40:15,2026-02-06 00:40:15.605099
AAPL,Apple Inc.,2021,2020-12-26,Q1,111439000000,44328000000,33534000000,28755000000,1.68,0.39777815665969724,0.30091799100853384,0.25803354301456405,USD,SEC,"DISCREPANCY: SEC=111,439,000,000 vs AV=365,817,000,000 (228.3%)",INCOME_STATEMENT,https://data.sec.gov/api/xbrl/companyfacts/CIK0000320193.json,True,2026-02-06 00:40:15,2026-02-06 00:40:15,2026-02-06 00:40:15.605099
AAPL,Apple Inc.,2021,2021-03-27,Q2,89584000000,38079000000,27503000000,23630000000,1.4,0.4250647437042329,0.30700794784783,0.2637747812109305,USD,SEC,"DISCREPANCY: SEC=89,584,000,000 vs AV=365,817,000,000 (308.4%)",INCOME_STATEMENT,https://data.sec.gov/api/xbrl/companyfacts/CIK0000320193.json,True,2026-02-06 00:40:15,2026-02-06 00:40:15,2026-02-06 00:40:15.605099
AAPL,Apple Inc.,2021,2021-06-26,Q3,81434000000,35255000000,24126000000,21744000000,1.3,0.4329272785323084,0.296264459562345,0.2670137780288332,USD,SEC,"DISCREPANCY: SEC=81,434,000,000 vs AV=365,817,000,000 (349.2%)",INCOME_STATEMENT,https://data.sec.gov/api/xbrl/companyfacts/CIK0000320193.json,True,2026-02-06 00:40:15,2026-02-06 00:40:15,2026-02-06 00:40:15.605099
AAPL,Apple Inc.,2022,2022-09-24,FY,394328000000,104956000000,66288000000,57411000000,3.28,0.26616420847619243,0.16810371061654258,0.14559199448175122,USD,SEC,VALIDATED,INCOME_STATEMENT,https://data.sec.gov/api/xbrl/companyfacts/CIK0000320193.json,True,2026-02-06 00:40:15,2026-02-06 00:40:15,2026-02-06 00:40:15.605099
