symbol,company_name,fiscal_year,quarter,segment_name,revenue,end_date,is_calculated,download_timestamp,process_timestamp
AMZN,"Amazon.com, Inc.",2021,Q3,AWS,20500000000.0,2022-10-27,False,2026-08-26 01:04:08 CST,2026-08-26 01:04:08 CST
AMZN,"Amazon.com, Inc.",2021,Q3,International,27700000000.0,2022-10-27,False,2026-08-26 01:04:08 CST,2026-08-26 01:04:08 CST
AMZN,"Amazon.com, Inc.",2021,Q3,North America,78800000000.0,2022-10-27,False,2026-08-26 01:04:08 CST,2026-08-26 01:04:08 CST
AMZN,"Amazon.com, Inc.",2022,Q4,AWS,21400000000.0,2023-02-02,False,2026-08-26 01:04:08 CST,2026-08-26 01:04:08 CST
AMZN,"Amazon.com, Inc.",2022,Q4,International,34500000000.0,2023-02-02,False,2026-08-26 01:04:08 CST,2026-08-26 01:04:08 CST
AMZN,"Amazon.com, Inc.",2022,Q4,North America,93400000000.0,2023-02-02,False,2026-08-26 01:04:08 CST,2026-08-26 01:04:08 CST
DELL,Dell Technologies Inc.,2025,Q1,Client Solutions Group,12000000000.0,2024-05-30,False,2026-08-26 01:04:08 CST,2026-08-26 01:04:08 CST
DELL,Dell Technologies Inc.,2025,Q1,Infrastructure Solutions Group,9200000000.0,2024-05-30,False,2026-08-26 01:04:08 CST,2026-08-26 01:04:08 CST
DELL,Dell Technologies Inc.,2025,Q2,Client Solutions Group,12400000000.0,2024-08-29,False,2026-08-26 01:04:08 CST,2026-08-26 01:04:08 CST
DELL,Dell Technologies Inc.,2025,Q2,Infrastructure Solutions Group,11600000000.0,2024-08-29,False,2026-08-26 01:04:08 CST,2026-08-26 01:04:08 CST
DELL,Dell Technologies Inc.,2025,Q3,Client Solutions Group,12100000000.0,2024-11-26,False,2026-08-26 01:04:08 CST,2026-08-26 01:04:08 CST
DELL,Dell Technologies Inc.,2025,Q3,Infrastructure Solutions Group,11400000000.0,2024-11-26,False,2026-08-26 01:04:08 CST,2026-08-26 01:04:08 CST
DELL,Dell Technologies Inc.,2025,Q4,Client Solutions Group,11900000000.0,2025-02-27,False,2026-08-26 01:04:08 CST,2026-08-26 01:04:08 CST
DELL,Dell Technologies Inc.,2025,Q4,Infrastructure Solutions Group,11400000000.0,2025-02-27,False,2026-08-26 01:04:08 CST,2026-08-26 01:04:08 CST
DELL,Dell Technologies Inc.,2026,Q1,Client Solutions Group,12500000000.0,2025-05-29,False,2026-08-26 01:04:08 CST,2026-08-26 01:04:08 CST
DELL,Dell Technologies Inc.,2026,Q1,Infrastructure Solutions Group,10300000000.0,2025-05-29,False,2026-08-26 01:04:08 CST,2026-08-26 01:04:08 CST
DELL,Dell Technologies Inc.,2026,Q2,Client Solutions Group,12500000000.0,2025-08-28,False,2026-08-26 01:04:08 CST,2026-08-26 01:04:08 CST
DELL,Dell Technologies Inc.,2026,Q2,Infrastructure Solutions Group,16800000000.0,2025-08-28,False,2026-08-26 01:04:08 CST,2026-08-26 01:04:08 CST
DELL,Dell Technologies Inc.,2026,Q3,Client Solutions Group,12500000000.0,2025-11-25,False,2026-08-26 01:04:08 CST,2026-08-26 01:04:08 CST
